"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Canada","2021A000011124","Total, industries and households","Cubic metres","72","thousands","3","v86719702","1.1","38774266","","","","0"
"2011","Canada","2021A000011124","Total, industries and households","Cubic metres","72","thousands","3","v86719702","1.1","35476126","","","","0"
"2013","Canada","2021A000011124","Total, industries and households","Cubic metres","72","thousands","3","v86719702","1.1","37197793","","","","0"
"2015","Canada","2021A000011124","Total, industries and households","Cubic metres","72","thousands","3","v86719702","1.1","35913582","","","","0"
"2017","Canada","2021A000011124","Total, industries and households","Cubic metres","72","thousands","3","v86719702","1.1","36334509","","","","0"
"2019","Canada","2021A000011124","Total, industries and households","Cubic metres","72","thousands","3","v86719702","1.1","36047231","","p","","0"
"2021","Canada","2021A000011124","Total, industries and households","Cubic metres","72","thousands","3","v86719702","1.1","36127599","","","","0"
"2009","Canada","2021A000011124","Total, industries","Cubic metres","72","thousands","3","v86719703","1.2","35185612","","","","0"
"2011","Canada","2021A000011124","Total, industries","Cubic metres","72","thousands","3","v86719703","1.2","31970256","","","","0"
"2013","Canada","2021A000011124","Total, industries","Cubic metres","72","thousands","3","v86719703","1.2","34075247","","","","0"
"2015","Canada","2021A000011124","Total, industries","Cubic metres","72","thousands","3","v86719703","1.2","32783143","","","","0"
"2017","Canada","2021A000011124","Total, industries","Cubic metres","72","thousands","3","v86719703","1.2","33358916","","","","0"
"2019","Canada","2021A000011124","Total, industries","Cubic metres","72","thousands","3","v86719703","1.2","33032814","","p","","0"
"2021","Canada","2021A000011124","Total, industries","Cubic metres","72","thousands","3","v86719703","1.2","32941946","","","","0"
"2009","Canada","2021A000011124","Households","Cubic metres","72","thousands","3","v86719793","1.92","3588654","","","","0"
"2011","Canada","2021A000011124","Households","Cubic metres","72","thousands","3","v86719793","1.92","3505870","","","","0"
"2013","Canada","2021A000011124","Households","Cubic metres","72","thousands","3","v86719793","1.92","3122546","","","","0"
"2015","Canada","2021A000011124","Households","Cubic metres","72","thousands","3","v86719793","1.92","3130439","","","","0"
"2017","Canada","2021A000011124","Households","Cubic metres","72","thousands","3","v86719793","1.92","2975593","","","","0"
"2019","Canada","2021A000011124","Households","Cubic metres","72","thousands","3","v86719793","1.92","3014417","","p","","0"
"2021","Canada","2021A000011124","Households","Cubic metres","72","thousands","3","v86719793","1.92","3185653","","","","0"


